maintype,grade,FD-score,LiA-score,CLIB-score,CLIB_stop-score,CILT-score,CILT_stop-score
leesboeken,6,52,37,25,21,79,82
media,4,64,57,36,31,78,81
school,2,92,88,51,45,66,70
leesboeken,5,79,70,36,33,70,72
leesboeken,7,96,86,46,42,61,64
leesboeken,7,90,83,38,32,72,75
leesboeken,5,84,77,42,41,66,67
leesboeken,6,89,76,45,44,62,63
school,6,88,80,41,34,70,74
leesboeken,5,80,76,40,40,72,73
media,4,55,49,30,26,81,83
leesboeken,7,75,67,36,32,73,75
school,4,94,86,51,44,62,66
leesboeken,7,77,68,31,28,73,75
school,6,89,83,46,43,65,67
leesboeken,2,88,80,38,35,67,69
media,4,64,55,42,36,72,75
school,5,67,57,26,22,77,79
leesboeken,7,80,72,42,39,67,69
media,4,74,63,34,30,73,75
leesboeken,2,91,84,44,39,66,69
leesboeken,6,56,45,24,23,83,84
leesboeken,2,63,57,27,23,76,78
media,4,80,71,40,36,68,71
school,6,77,72,41,37,74,77
school,5,87,83,53,51,68,70
leesboeken,7,86,80,45,38,70,73
leesboeken,5,96,88,53,50,59,61
leesboeken,7,92,82,47,41,62,65
leesboeken,2,89,77,35,33,67,69
school,6,68,60,32,28,77,79
leesboeken,2,84,74,40,37,65,67
school,5,51,50,33,27,83,87
media,4,75,64,44,39,67,70
leesboeken,3,89,76,43,39,63,65
leesboeken,5,80,68,38,33,66,69
media,4,55,48,29,26,82,84
leesboeken,5,80,71,40,37,66,68
school,6,46,43,28,25,84,86
leesboeken,2,70,60,34,30,73,75
leesboeken,5,89,80,42,40,63,65
leesboeken,5,97,89,43,39,64,66
media,3,85,79,39,37,65,67
leesboeken,5,92,85,44,42,65,66
leesboeken,7,85,79,41,37,68,70
leesboeken,6,80,70,42,39,66,68
leesboeken,7,79,73,39,36,70,71
leesboeken,7,80,60,41,39,64,65
media,4,53,51,35,31,82,85
school,3,84,78,42,34,69,74
leesboeken,8,88,81,38,35,69,71
leesboeken,5,83,75,45,40,65,68
media,4,84,72,41,37,67,70
leesboeken,2,74,68,41,38,68,70
leesboeken,2,81,72,40,35,71,74
leesboeken,4,81,75,36,31,74,77
school,6,68,64,30,27,79,81
leesboeken,2,59,46,31,26,74,77
leesboeken,2,95,82,49,47,58,59
school,4,81,70,35,29,71,75
school,6,75,67,37,31,74,78
media,4,62,54,35,30,76,79
leesboeken,7,75,64,37,32,70,73
school,6,83,79,47,41,74,77
school,5,84,74,39,35,67,69
leesboeken,7,77,69,34,31,74,76
leesboeken,7,68,56,39,35,70,72
leesboeken,5,82,74,44,38,67,71
school,3,108,100,57,55,56,57
media,4,80,67,35,33,71,72
media,4,64,56,38,36,73,74
school,6,89,85,52,50,65,66
media,4,84,76,41,38,68,70
school,6,90,84,49,43,63,67
leesboeken,5,89,80,40,38,65,66
leesboeken,5,95,88,48,43,65,68
media,4,76,68,39,37,70,71
media,4,73,63,38,34,71,73
media,5,94,87,48,45,63,65
media,4,72,64,39,36,74,75
leesboeken,5,88,81,42,37,71,74
media,4,69,59,34,31,71,73
leesboeken,2,98,91,48,43,60,63
leesboeken,2,60,55,33,32,78,78
leesboeken,7,84,75,36,34,69,71
leesboeken,2,86,68,39,36,62,64
leesboeken,5,98,90,44,41,63,65
school,3,81,73,41,35,67,71
leesboeken,7,84,73,43,39,67,69
media,4,55,48,29,25,81,83
leesboeken,2,82,73,38,36,72,73
media,4,75,67,42,39,71,73
leesboeken,5,97,86,44,40,60,62
school,4,74,60,45,41,67,70
leesboeken,5,81,72,38,34,71,74
leesboeken,7,89,82,41,38,65,67
leesboeken,7,96,88,49,46,60,62
leesboeken,2,88,81,45,41,63,66
leesboeken,7,87,77,44,40,65,67
leesboeken,2,81,70,45,40,63,66
leesboeken,2,103,94,50,49,59,59
leesboeken,5,100,93,52,47,55,58
leesboeken,5,71,51,33,28,70,73
school,6,74,68,38,33,71,74
school,4,88,80,39,33,68,71
leesboeken,2,93,82,44,38,63,66
leesboeken,5,78,61,41,38,65,67
leesboeken,2,94,83,45,42,61,63
leesboeken,2,78,70,38,34,70,72
school,6,98,95,64,61,61,63
media,4,73,67,41,35,74,78
leesboeken,7,75,61,31,28,74,75
leesboeken,2,84,75,34,32,73,74
school,3,84,73,40,34,65,69
media,4,79,72,37,33,74,76
leesboeken,7,54,43,22,17,83,85
school,5,60,56,25,23,82,84
school,6,58,48,27,25,79,80
leesboeken,4,76,61,38,34,67,70
leesboeken,2,100,93,48,44,61,63
school,4,71,66,35,24,80,86
media,4,70,62,35,33,75,76
school,5,97,86,49,49,59,59
school,5,92,84,49,48,62,62
leesboeken,5,103,93,50,47,57,59
media,4,78,68,37,33,73,76
leesboeken,5,82,70,40,36,66,68
leesboeken,7,50,33,15,11,87,89
leesboeken,3,91,82,46,43,63,65
school,5,54,45,19,16,85,87
media,4,71,58,32,26,71,75
media,4,63,51,24,23,77,78
school,5,77,72,45,43,73,75
leesboeken,5,85,74,41,38,66,68
leesboeken,7,74,63,39,35,68,70
school,6,41,36,21,18,90,92
leesboeken,7,74,63,36,32,70,73
leesboeken,7,74,49,37,31,66,69
school,4,73,70,45,44,75,76
media,4,84,75,38,37,71,71
school,4,69,65,36,28,73,78
school,4,94,85,40,37,66,68
media,4,76,70,48,45,67,69
leesboeken,2,87,82,40,37,68,70
media,3,89,83,43,38,67,70
leesboeken,2,89,83,44,40,65,67
leesboeken,7,82,74,40,38,71,72
leesboeken,3,73,47,45,40,63,65
school,6,87,80,39,33,71,74
school,3,100,92,49,43,59,63
leesboeken,2,98,91,48,49,63,63
leesboeken,7,88,80,46,43,63,65
school,4,70,63,36,31,74,77
school,3,110,105,66,62,53,56
media,4,68,60,29,26,78,80
leesboeken,2,88,82,45,40,69,72
leesboeken,6,74,61,35,34,67,67
school,5,82,71,41,36,68,71
media,4,65,59,39,35,73,76
leesboeken,2,97,90,47,45,62,62
school,5,81,71,42,36,68,72
leesboeken,2,91,84,48,44,63,65
leesboeken,4,77,64,38,35,68,70
school,6,93,84,44,43,63,63
leesboeken,5,89,84,39,36,71,73
leesboeken,5,80,75,41,39,71,72
leesboeken,7,75,64,39,35,71,73
media,4,66,60,41,37,72,75
school,3,87,81,42,39,69,70
media,4,75,67,37,36,74,74
leesboeken,3,81,73,41,38,67,68
media,4,67,62,35,32,76,78
leesboeken,2,69,54,37,32,71,73
leesboeken,2,93,86,48,45,63,65
school,4,74,67,31,30,80,81
school,6,95,88,48,46,63,64
school,5,77,66,40,36,68,70
school,3,67,56,32,28,74,76
leesboeken,7,91,84,47,46,62,63
school,4,61,55,41,35,76,80
leesboeken,5,90,74,43,41,62,63
media,4,68,60,32,29,76,78
school,5,99,93,46,43,65,67
media,4,68,63,32,26,81,85
media,4,50,41,21,19,87,88
school,5,58,55,30,25,82,85
leesboeken,6,72,53,41,36,65,67
school,6,81,72,38,35,71,72
leesboeken,5,67,57,36,31,71,74
school,6,72,62,34,28,73,76
leesboeken,5,81,74,40,38,68,69
leesboeken,5,82,71,33,30,72,74
leesboeken,8,81,69,37,34,67,69
leesboeken,5,93,85,44,38,64,68
leesboeken,2,85,75,42,36,65,68
leesboeken,5,89,80,41,39,66,67
leesboeken,7,90,84,41,38,67,68
media,3,78,74,38,36,72,73
leesboeken,2,97,89,49,45,62,64
media,4,62,54,36,35,77,77
media,4,65,55,32,29,75,77
leesboeken,7,68,55,35,29,72,75
school,6,87,81,41,33,72,76
media,4,84,76,40,38,69,70
leesboeken,7,66,56,32,29,75,77
leesboeken,5,85,76,41,35,68,71
leesboeken,5,86,77,43,40,64,66
leesboeken,2,96,89,51,48,60,61
leesboeken,5,85,80,40,37,72,73
media,4,67,59,37,33,75,78
media,5,93,84,47,43,60,62
leesboeken,5,91,76,40,37,61,63
media,4,52,45,31,27,80,82
leesboeken,5,78,68,38,34,69,72
media,4,75,60,30,25,75,78
leesboeken,5,89,81,39,36,65,67
media,4,87,79,38,34,69,71
leesboeken,2,73,58,34,30,70,72
school,5,73,65,38,36,71,72
school,4,68,62,31,24,74,79
school,5,80,75,42,40,70,71
leesboeken,4,76,70,36,35,73,74
school,6,70,64,36,31,73,76
leesboeken,2,75,50,34,30,66,69
school,5,75,68,40,36,71,73
leesboeken,3,100,93,47,43,61,64
leesboeken,5,78,67,39,36,67,69
leesboeken,2,96,90,48,45,63,65
leesboeken,5,93,84,41,39,64,66
leesboeken,2,90,80,43,40,62,65
leesboeken,5,76,69,40,38,73,74
